City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,Kununurra,-15.7667,128.7333,73.38,100,75,4.61,AU,2/13/2022 23:30
260,Pisco,-13.7,-76.2167,73.45,64,0,20.71,PE,2/13/2022 23:30
261,Golden,39.7555,-105.2211,55.11,24,20,17.27,US,2/13/2022 23:25
262,Port-Cartier,50.0334,-66.8654,-1.25,87,61,6.69,CA,2/13/2022 23:27
263,Nome,64.5011,-165.4064,-5.73,59,0,0,US,2/13/2022 23:30
264,Reserva,-24.6503,-50.8506,65.95,89,84,1.54,BR,2/13/2022 23:30
265,Benevento,41.2179,14.7464,47.68,86,57,1.28,IT,2/13/2022 23:30
266,Svetlogorsk,52.6333,29.7333,26.89,85,28,9.82,BY,2/13/2022 23:30
267,Peniche,39.3558,-9.3811,55.62,90,5,16.71,PT,2/13/2022 23:26
268,Cayenne,4.9333,-52.3333,79.09,85,75,1.01,GF,2/13/2022 23:30
269,Rio Tuba,8.5061,117.4317,80.91,78,93,11.27,PH,2/13/2022 23:30
270,Paita,-5.0892,-81.1144,74.12,79,18,11.65,PE,2/13/2022 23:31
271,Lagoa,39.05,-27.9833,56.5,59,88,4.7,PT,2/13/2022 23:29
272,Borovichi,58.3878,33.9155,28.22,89,100,11.77,RU,2/13/2022 23:31
273,Leningradskiy,69.3833,178.4167,-16.58,90,89,5.88,RU,2/13/2022 23:31
274,Cherskiy,68.75,161.3,-22.94,97,98,7.4,RU,2/13/2022 23:31
275,Ribeira Grande,38.5167,-28.7,58.12,69,100,10.07,PT,2/13/2022 23:29
276,Puerto Leguizamo,-0.1934,-74.7819,77.16,84,100,4.16,CO,2/13/2022 23:31
277,Bol,13.4586,14.7147,73.53,36,6,14.14,TD,2/13/2022 23:31
278,Kourou,5.1552,-52.6478,79.11,92,71,7.87,GF,2/13/2022 23:31
279,Loa Janan,-0.583,117.095,74.35,93,99,0.81,ID,2/13/2022 23:31
280,Leh,34.1667,77.5833,0.18,87,84,2.51,IN,2/13/2022 23:31
281,Haines Junction,60.7522,-137.5108,24.75,63,100,0,CA,2/13/2022 23:26
282,Belmonte,-15.8631,-38.8828,79.3,87,100,6.91,BR,2/13/2022 23:29
283,Hualmay,-11.0964,-77.6139,72.3,78,19,10.02,PE,2/13/2022 23:31
284,Mar Del Plata,-38.0023,-57.5575,66.22,71,0,3.44,AR,2/13/2022 23:31
285,Savannah Bight,16.45,-85.85,80.65,74,8,15.35,HN,2/13/2022 23:31
286,Sembe,1.6481,14.5806,74.1,53,89,2.33,CG,2/13/2022 23:31
287,Goya,-29.14,-59.2626,71.87,29,0,4.79,AR,2/13/2022 23:31
288,Banjarmasin,-3.3244,114.591,77.14,84,100,1.83,ID,2/13/2022 23:31
289,Talnakh,69.4865,88.3972,-7.6,70,11,8.7,RU,2/13/2022 23:31
290,Puerto Maldonado,-12.6,-69.1833,79.2,78,0,2.3,PE,2/13/2022 23:31
291,Sorland,67.667,12.6934,33.53,55,100,22.21,NO,2/13/2022 23:29
