City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
302,Leningradskiy,RU,69.3833,178.4167,12.49,88,100,6.46,overcast clouds
303,Gat,IL,31.61,34.7642,57.88,100,72,14.92,broken clouds
304,Pahrump,US,36.2083,-115.9839,55.11,15,0,11.01,clear sky
305,Fairmont,US,39.4851,-80.1426,37.53,75,100,4.0,overcast clouds
306,Palmer,US,42.1584,-72.3287,33.48,79,100,6.91,mist
307,Mahebourg,MU,-20.4081,57.7,79.09,94,40,4.61,scattered clouds
308,San Cristobal,VE,7.7669,-72.225,73.58,80,91,3.04,overcast clouds
309,Siuna,NI,13.7332,-84.7773,80.53,59,95,7.67,overcast clouds
310,Marawi,PH,7.9986,124.2928,64.65,95,100,1.9,overcast clouds
311,Limbang,MY,4.75,115.0,80.71,93,99,1.36,overcast clouds
312,Fosforitnyy,RU,55.3261,38.9,26.92,97,88,6.26,overcast clouds
313,Bridgetown,BB,13.1,-59.6167,73.89,94,75,12.66,broken clouds
314,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,20,2.3,few clouds
315,Medea,DZ,36.2642,2.7539,46.85,93,96,2.82,overcast clouds
316,Samana,DO,19.2056,-69.3369,79.02,83,75,4.61,broken clouds
317,Dongning,CN,44.0622,131.1207,20.43,90,100,5.57,overcast clouds
318,Bowen,AU,-20.0167,148.2333,71.82,77,21,3.8,few clouds
319,Mednogorsk,RU,51.4128,57.595,12.9,96,57,6.96,broken clouds
320,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,77,20,12.03,few clouds
321,Mao,ES,39.8885,4.2658,52.36,50,40,11.5,scattered clouds
322,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,19.57,broken clouds
323,Elko,US,41.0002,-115.5012,28.42,45,7,2.44,clear sky
324,Marrakesh,MA,31.6315,-8.0083,64.47,77,40,4.61,scattered clouds
325,Karaton,ID,-6.3424,106.1045,77.95,95,100,3.85,overcast clouds
326,Ejido,VE,8.5514,-71.2375,70.72,87,100,3.15,overcast clouds
327,Half Moon Bay,US,37.4636,-122.4286,63.91,37,0,8.05,clear sky
328,Macherla,IN,16.4833,79.4333,67.75,76,18,5.53,few clouds
329,Usinsk,RU,65.9939,57.5281,27.37,97,100,18.21,light snow
330,Kargil,IN,34.5667,76.1,14.14,96,100,1.16,light snow
331,Russell,US,32.3502,-85.1999,63.55,80,100,0.0,overcast clouds
332,Lengshuitan,CN,26.4111,111.5956,44.96,86,0,0.27,clear sky
333,Safita,SY,34.8205,36.1153,49.98,92,100,11.45,light rain
334,San Patricio,US,28.017,-97.5169,44.47,68,100,10.92,overcast clouds
335,Winnemucca,US,40.973,-117.7357,33.85,47,0,9.22,clear sky
